! R&S PA Compression Test Version 1.6
! (C) 2016 Rohde & Schwarz North America
! 
! Fri Feb 04 01:34:17 2016
! 
! VNA INSTRUMENT INFO
! Connection:       TCPIP
! Address:          127.0.0.1
! Make:             Rohde & Schwarz
! Model:            ZVA
! Serial No:        1145101099999999
! Firmware Version: 3.60
! Min Frequency:    300 KHz
! Max Frequency:    8 GHz
! Number of Ports:  4
! Options:
!     ZVA-K7
!     ZVA-K17
!     ZVAB-SIM
!     ZVT8-B63
!     ZVT8-B64
!     ZVT8-B65
!     ZVT8-B66
!     ZVT8-B68
!     ZVA8-B16
!     ZVA8-B21
!     ZVA8-B22
!     ZVA8-B23
!     ZVA8-B24
!     ZVA8-B31
!     ZVA8-B32
!     ZVA8-B33
!     ZVA8-B34
!     ZVT8-B67
!     ZVA-B7
! 
! PULSED RF? No
! 
! SETTINGS
! Start Frequency:        500 MHz
! Stop Frequency:         6 GHz
! Frequency Points:       51
! IF BW:                  100 KHz
! 
! Start Power:            -20 dBm
! Stop Power:             10 dBm
! Power Points:           61
! Compression value:      1 dB
! Include gain expansion? Yes
! Stop at compression?    Yes
! Post Condition:         None
! 
! Channel:                1
! Input port:             1
! Output port:            2
! 
! 
Frequency_Hz,             Pin_dBm,                  Pin_deg,                  Pout_dBm,                 Pout_deg,                 S11_dB,                   S11_deg,                  S21_dB,                   S21_deg,                  S12_dB,                   S12_deg,                  S22_dB,                   S22_deg
5.000000000000000e+08,    -3.665280816956191e+00,   0.000000000000000e+00,    1.193329276819877e+01,    1.449779641675033e+02,    -1.551917151260461e+01,   1.562799470442727e+02,    1.559857358515496e+01,    1.449779641675033e+02,    -2.264093834167204e+01,   -2.954608800259300e+01,   -1.758917804404924e+01,   5.112745644772949e+01
5.000000000000000e+08,    -3.146487898464599e+00,   0.000000000000000e+00,    1.242465029254393e+01,    1.450332369830859e+02,    -1.554974829864272e+01,   1.563354484394474e+02,    1.557113819100853e+01,    1.450332369830859e+02,    -2.269688393986272e+01,   -2.976258955336001e+01,   -1.714571694836505e+01,   5.165750161120907e+01
5.000000000000000e+08,    -2.657351519858359e+00,   0.000000000000000e+00,    1.291324637851650e+01,    1.449699646021331e+02,    -1.555441376388450e+01,   1.562455501079382e+02,    1.557059789837486e+01,    1.449699646021331e+02,    -2.252603027556726e+01,   -3.004726650048722e+01,   -1.766472812397825e+01,   4.944780958996892e+01
5.000000000000000e+08,    -2.182454355682069e+00,   0.000000000000000e+00,    1.338328742267499e+01,    1.452113656855600e+02,    -1.560740301871340e+01,   1.567498065629397e+02,    1.556574177835706e+01,    1.452113656855600e+02,    -2.256029605508206e+01,   -2.956978043163536e+01,   -1.755129950068672e+01,   5.239380765508204e+01
5.000000000000000e+08,    -1.669891477840181e+00,   0.000000000000000e+00,    1.388041517042171e+01,    1.450618604485310e+02,    -1.560181287851045e+01,   1.565302668911677e+02,    1.555030664826189e+01,    1.450618604485310e+02,    -2.257229091669068e+01,   -3.021027314462386e+01,   -1.758410447608752e+01,   5.285210634363330e+01
5.000000000000000e+08,    -1.153648174725291e+00,   0.000000000000000e+00,    1.438033406685757e+01,    1.451378867956709e+02,    -1.565914198745198e+01,   1.565789894697253e+02,    1.553398224158287e+01,    1.451378867956709e+02,    -2.271206962137069e+01,   -2.964448354628754e+01,   -1.738499602021546e+01,   5.141511974835036e+01
5.000000000000000e+08,    -6.440882327169781e-01,   0.000000000000000e+00,    1.488249018261353e+01,    1.449236690325058e+02,    -1.567835011241494e+01,   1.563200530576035e+02,    1.552657841533051e+01,    1.449236690325058e+02,    -2.256811105914187e+01,   -3.017510699083474e+01,   -1.750841523175190e+01,   5.249804337331371e+01
5.000000000000000e+08,    -1.685484346989305e-01,   0.000000000000000e+00,    1.538443838768907e+01,    1.448867313786806e+02,    -1.569796522058962e+01,   1.563832702133781e+02,    1.555298682238800e+01,    1.448867313786806e+02,    -2.266482636802039e+01,   -3.020373389864204e+01,   -1.760235849802940e+01,   5.132110479155095e+01
5.000000000000000e+08,    3.286126415343276e-01,    0.000000000000000e+00,    1.589024300464655e+01,    1.448563224976512e+02,    -1.572768132716892e+01,   1.563075024120043e+02,    1.556163036311222e+01,    1.448563224976512e+02,    -2.263131313476501e+01,   -3.014346472236909e+01,   -1.764985903087418e+01,   5.178881833835575e+01
5.000000000000000e+08,    8.675453517197553e-01,    0.000000000000000e+00,    1.640979540659765e+01,    1.448759292155552e+02,    -1.581453797791630e+01,   1.564692948918901e+02,    1.554225005487789e+01,    1.448759292155552e+02,    -2.258017228925932e+01,   -2.957354560990119e+01,   -1.750409932557486e+01,   5.085098018619837e+01
5.000000000000000e+08,    1.356289021400119e+00,    0.000000000000000e+00,    1.687929841678387e+01,    1.447707009391968e+02,    -1.585658407922322e+01,   1.564260020960234e+02,    1.552300939538375e+01,    1.447707009391968e+02,    -2.262588465117435e+01,   -3.017393825311788e+01,   -1.755614540369735e+01,   5.230622594114461e+01
5.000000000000000e+08,    1.849223681706249e+00,    0.000000000000000e+00,    1.731747429360920e+01,    1.447959442188591e+02,    -1.591884992333768e+01,   1.565658147104030e+02,    1.546825061190295e+01,    1.447959442188591e+02,    -2.262432285755736e+01,   -2.993762806804245e+01,   -1.759929515690808e+01,   5.098927330067689e+01
5.000000000000000e+08,    2.364403693082330e+00,    0.000000000000000e+00,    1.728671392294020e+01,    1.445325066014553e+02,    -1.601693626389628e+01,   1.566457109937094e+02,    1.492231022985787e+01,    1.445325066014553e+02,    -2.258411281372017e+01,   -2.966734736916290e+01,   -1.751630533990930e+01,   5.168201783428625e+01
5.000000000000000e+08,    2.886242149586639e+00,    0.000000000000000e+00,    1.803155124839727e+01,    1.447841921260131e+02,    -1.616458657432711e+01,   1.566421991428224e+02,    1.514530909881063e+01,    1.447841921260131e+02,    -2.258271117894074e+01,   -3.011243938146995e+01,   -1.753257304299278e+01,   5.162333567019137e+01
5.000000000000000e+08,    3.394644234996075e+00,    0.000000000000000e+00,    1.825878004619048e+01,    1.447032173039645e+02,    -1.638569004058625e+01,   1.567077027951213e+02,    1.486413581119441e+01,    1.447032173039645e+02,    -2.260963004687720e+01,   -2.936279193562361e+01,   -1.746733534813621e+01,   5.147213014680911e+01
5.000000000000000e+08,    3.934122816390655e+00,    0.000000000000000e+00,    1.811685989404820e+01,    1.436672792389408e+02,    -1.676358092100955e+01,   1.571651282326898e+02,    1.418273707765754e+01,    1.436672792389408e+02,    -2.263893630123689e+01,   -2.960237864077391e+01,   -1.758734464763961e+01,   5.141282921631452e+01
6.100000000000000e+08,    -1.995679652122823e+01,   0.000000000000000e+00,    -4.192166627832156e+00,   1.379765556214860e+02,    -1.615132865570783e+01,   -6.387369312589064e+00,   1.576462989339608e+01,    1.379765556214860e+02,    -2.264867590209059e+01,   -3.626136430241668e+01,   -1.460443692076787e+01,   7.488479667650900e+01
6.100000000000000e+08,    -1.943795852956801e+01,   0.000000000000000e+00,    -3.717958582471498e+00,   1.382795512814442e+02,    -1.618402811002747e+01,   -6.085552946194894e+00,   1.571999994709652e+01,    1.382795512814442e+02,    -2.252525632156909e+01,   -3.611258538592763e+01,   -1.509588609517104e+01,   7.440285468322834e+01
6.100000000000000e+08,    -1.888275490788814e+01,   0.000000000000000e+00,    -3.196901735777312e+00,   1.384290149714890e+02,    -1.629143626811114e+01,   -6.376115017884150e+00,   1.568585317211083e+01,    1.384290149714890e+02,    -2.280805859941818e+01,   -3.672156204965709e+01,   -1.524501618210145e+01,   7.909735109699868e+01
6.100000000000000e+08,    -1.838778691841310e+01,   0.000000000000000e+00,    -2.736242813446902e+00,   1.377691413398924e+02,    -1.629906627168312e+01,   -7.354405523630951e+00,   1.565154410496620e+01,    1.377691413398924e+02,    -2.266776037701407e+01,   -3.561540198846562e+01,   -1.404406999305579e+01,   7.846978820454378e+01
6.100000000000000e+08,    -1.794484987246422e+01,   0.000000000000000e+00,    -2.239630129546370e+00,   1.379885160700171e+02,    -1.624649484837487e+01,   -6.314017101690067e+00,   1.570521974291785e+01,    1.379885160700171e+02,    -2.278084837829233e+01,   -3.613593131467207e+01,   -1.522184977414020e+01,   7.564681262394143e+01
6.100000000000000e+08,    -1.761284718874147e+01,   0.000000000000000e+00,    -1.757883031953305e+00,   1.378478685631030e+02,    -1.598791910691721e+01,   -6.452094756518823e+00,   1.585496415678816e+01,    1.378478685631030e+02,    -2.272171582695218e+01,   -3.706069607009046e+01,   -1.481371526566339e+01,   8.193259643135067e+01
6.100000000000000e+08,    -1.681310710068320e+01,   0.000000000000000e+00,    -1.167674156850346e+00,   1.381671493791861e+02,    -1.628135109583970e+01,   -6.354786420650204e+00,   1.564543294383286e+01,    1.381671493791861e+02,    -2.278114294267829e+01,   -3.649204756494903e+01,   -1.455471097576151e+01,   7.553875755970320e+01
6.100000000000000e+08,    -1.639482750245681e+01,   0.000000000000000e+00,    -7.070748388044450e-01,   1.378503378319417e+02,    -1.623355515509996e+01,   -6.551424762651436e+00,   1.568775266365236e+01,    1.378503378319417e+02,    -2.270213775327488e+01,   -3.746207423663135e+01,   -1.505884446958197e+01,   7.768717106084566e+01
6.100000000000000e+08,    -1.597083689229068e+01,   0.000000000000000e+00,    -2.302968661693825e-01,   1.380279050365314e+02,    -1.620432885116237e+01,   -6.176279220582694e+00,   1.574054002612129e+01,    1.380279050365314e+02,    -2.272129030915143e+01,   -3.678460601950029e+01,   -1.574716699926601e+01,   7.860458205135255e+01
6.100000000000000e+08,    -1.548179123961634e+01,   0.000000000000000e+00,    2.827876130454268e-01,    1.376956890289449e+02,    -1.618713016923362e+01,   -6.717544500957851e+00,   1.576457885266176e+01,    1.376956890289449e+02,    -2.272016321616394e+01,   -3.772311986782520e+01,   -1.501603280473615e+01,   7.697725772582609e+01
