!CSV A.01.01
!Agilent Technologies,N5241A,MY52011414,A.09.80.16
!Date: Friday, February, 27, 2015 18:02:12
!Source: GCA Sweep Data

"Calibration State:","ON",,,,,,,
"Num Freq Points:",201,,,,,,,
"Num Power Points:",21,,,,,,,

Frequency,S11,,Pin Data,,Pout Data,,S21,,Delta Gain,,AI1,AI2,
<Hz>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<LogMag (dB)>,<Phase (Deg)>,<LogMag (dBm)>,<Phase (Deg)>,<Real (U)>,<Real (U)>
2.052e+009,-8.41252,84.2145,34.1206,143.28,48.6866,-82.2529,14.566,134.468,-1.3067,-10.6066,0,0
2.052e+009,-8.35881,81.6262,34.9899,144.934,48.8943,-81.8256,13.9044,133.24,-1.96829,-11.8337,0,0
2.052e+009,-8.31209,79.3258,35.8212,146.239,49.0572,-81.6224,13.236,132.138,-2.63671,-12.9358,0,0
2.052e+009,-8.27402,77.0066,36.6689,147.175,49.1879,-81.8632,12.519,130.961,-3.35371,-14.1127,0,0
2.053e+009,-6.63021,98.8819,19.778,106.686,35.5235,-109.29,15.7455,144.025,0,0,0,0
2.053e+009,-6.69167,98.8792,20.6446,107.911,36.4313,-107.953,15.7867,144.137,0.0411787,0.112043,0,0
2.053e+009,-6.7292,98.5671,21.4692,109.093,37.3053,-106.864,15.8362,144.043,0.0906208,0.0180467,0,0
2.053e+009,-6.79741,98.5394,22.3379,110.495,38.2373,-105.355,15.8994,144.151,0.153851,0.125893,0,0
2.053e+009,-6.85585,98.2839,23.1528,111.813,39.1299,-104.129,15.9771,144.058,0.231573,0.0336477,0,0
2.053e+009,-6.91876,98.1684,23.993,112.973,40.0398,-103.035,16.0468,143.992,0.301277,-0.0324835,0,0
2.053e+009,-6.99946,97.9569,24.8451,114.498,40.963,-101.649,16.1179,143.853,0.372406,-0.171364,0,0
2.053e+009,-7.0859,97.7694,25.696,116.011,41.8876,-100.353,16.1916,143.637,0.44611,-0.387907,0,0
2.053e+009,-7.1936,97.5895,26.5608,116.997,42.8068,-99.5686,16.246,143.435,0.500458,-0.590033,0,0
2.053e+009,-7.28775,97.2929,27.3706,118.704,43.6813,-98.2641,16.3106,143.032,0.565101,-0.992912,0,0
2.053e+009,-7.40866,96.9221,28.2227,119.628,44.5786,-97.9172,16.356,142.455,0.610427,-1.56949,0,0
2.053e+009,-7.56931,96.3484,29.0755,121.396,45.4307,-96.9325,16.3553,141.671,0.609741,-2.35358,0,0
2.053e+009,-7.76388,95.5799,29.9117,122.504,46.2375,-96.8735,16.3257,140.622,0.580188,-3.40249,0,0
2.053e+009,-8.04821,93.9901,30.7669,123.433,46.9697,-97.518,16.2028,139.049,0.457237,-4.97559,0,0
2.053e+009,-8.33911,91.6511,31.6041,125.288,47.5521,-97.3669,15.9479,137.345,0.202397,-6.67947,0,0
2.053e+009,-8.49952,88.8345,32.4459,126.964,47.9809,-97.1868,15.535,135.849,-0.210496,-8.17533,0,0
2.053e+009,-8.53156,86.0909,33.2846,128.294,48.2995,-97.0915,15.0149,134.614,-0.730646,-9.41045,0,0
2.053e+009,-8.49176,83.4383,34.1335,129.63,48.5538,-96.9725,14.4203,133.398,-1.32526,-10.6271,0,0
2.053e+009,-8.43563,80.9529,34.9836,130.837,48.758,-96.9202,13.7744,132.243,-1.97117,-11.7821,0,0
2.053e+009,-8.3911,78.5456,35.8319,132.271,48.9219,-96.6658,13.09,131.064,-2.65555,-12.961,0,0
2.053e+009,-8.35567,76.2112,36.6762,133.023,49.0518,-97.0836,12.3757,129.893,-3.36986,-14.1316,0,0
2.054e+009,-6.54922,98.2464,19.7674,92.9043,35.7945,-123.302,16.0271,143.794,0,0,0,0
2.054e+009,-6.58958,98.1054,20.6121,94.2456,36.6927,-121.89,16.0806,143.864,0.0535196,0.0703816,0,0
2.054e+009,-6.61504,97.9832,21.4379,95.186,37.5963,-120.888,16.1584,143.926,0.131327,0.132062,0,0
2.054e+009,-6.69101,97.8463,22.2889,96.6882,38.5022,-119.315,16.2133,143.996,0.186219,0.20269,0,0
2.054e+009,-6.76131,97.6702,23.13,97.4959,39.4023,-118.597,16.2723,143.907,0.245179,0.113612,0,0
2.054e+009,-6.81006,97.4984,23.9553,99.0774,40.3211,-117.089,16.3657,143.834,0.338616,0.0402095,0,0
2.054e+009,-6.90016,97.2866,24.7975,100.625,41.2256,-115.667,16.4281,143.708,0.400967,-0.0854228,0,0
2.054e+009,-6.99882,97.0993,25.6805,101.814,42.169,-114.737,16.4885,143.449,0.46138,-0.345045,0,0
2.054e+009,-7.09044,96.907,26.5041,102.887,43.0547,-113.925,16.5506,143.188,0.523489,-0.606122,0,0
2.054e+009,-7.20057,96.5484,27.3434,104.324,43.9465,-112.909,16.6031,142.768,0.575971,-1.0262,0,0
2.054e+009,-7.33079,96.1107,28.2062,106.042,44.8464,-111.805,16.6403,142.153,0.613138,-1.64104,0,0
2.054e+009,-7.48105,95.6983,29.0361,107.154,45.6924,-111.376,16.6562,141.47,0.629106,-2.32406,0,0
2.054e+009,-7.68646,94.8462,29.8864,108.749,46.5029,-110.875,16.6165,140.376,0.589371,-3.41798,0,0
2.054e+009,-7.97583,93.2309,30.7326,109.856,47.2243,-111.377,16.4916,138.767,0.464503,-5.02686,0,0
2.054e+009,-8.27607,90.7633,31.5896,111.456,47.8115,-111.529,16.2219,137.016,0.194745,-6.77821,0,0
2.054e+009,-8.43824,87.9233,32.4281,112.955,48.2349,-111.516,15.8068,135.528,-0.220309,-8.26537,0,0
2.054e+009,-8.46525,85.1166,33.2709,114.182,48.5544,-111.555,15.2835,134.262,-0.743637,-9.53128,0,0
2.054e+009,-8.42796,82.4874,34.114,115.601,48.8038,-111.307,14.6899,133.092,-1.33726,-10.7021,0,0
2.054e+009,-8.36963,79.9154,34.9678,116.873,49.0078,-111.244,14.0401,131.883,-1.98705,-11.9111,0,0
2.054e+009,-8.32804,77.526,35.8014,118.284,49.1683,-110.996,13.3669,130.72,-2.66025,-13.0742,0,0
2.054e+009,-8.28806,75.0794,36.658,119.594,49.3006,-110.925,12.6427,129.481,-3.38446,-14.3131,0,0
2.055e+009,-6.74603,97.438,19.7885,79.0186,35.5086,-137.69,15.7201,143.291,0,0,0,0
2.055e+009,-6.7755,97.4381,20.6333,80.2995,36.3974,-136.2,15.764,143.5,0.0439878,0.209024,0,0
2.055e+009,-6.83045,97.4251,21.4826,81.7618,37.304,-134.591,15.8214,143.647,0.101316,0.356101,0,0
2.055e+009,-6.89252,97.2133,22.3297,82.8347,38.2187,-133.57,15.889,143.595,0.168928,0.303783,0,0
2.055e+009,-6.9598,97.0066,23.1632,83.7155,39.1176,-132.797,15.9544,143.488,0.234321,0.196341,0,0
2.055e+009,-7.03748,96.9095,24.0139,85.2095,40.0306,-131.288,16.0166,143.502,0.296593,0.210755,0,0
2.055e+009,-7.11288,96.6673,24.8347,86.7136,40.9322,-130.025,16.0974,143.261,0.377361,-0.0304206,0,0
2.055e+009,-7.20455,96.4508,25.706,87.8161,41.8697,-129.14,16.1637,143.044,0.443604,-0.247284,0,0
2.055e+009,-7.30217,96.22,26.5467,89.4841,42.7767,-127.729,16.2301,142.787,0.51,-0.504716,0,0
2.055e+009,-7.41476,95.9948,27.4006,90.6654,43.6787,-126.898,16.2781,142.437,0.558077,-0.854409,0,0
2.055e+009,-7.52774,95.6172,28.2094,92.2647,44.5364,-125.841,16.3271,141.894,0.607017,-1.39717,0,0
